ScientificName,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,Citation
Amphidelus,2497,exact,Checked by Taxonomic Editor,accepted,Amphidelus,"Thorne, 1939",2497,Amphidelus,"Thorne, 1939",Animalia,Nematoda,Enoplea,Enoplida,Alaimidae,Amphidelus,,,,1,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Amphidelus Thorne, 1939. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2497 on 2022-06-30"
Anaplectus,227268,exact,Checked by Taxonomic Editor,accepted,Anaplectus,"De Coninck & Schuurmans Stekhoven, 1933",227268,Anaplectus,"De Coninck & Schuurmans Stekhoven, 1933",Animalia,Nematoda,Chromadorea,Plectida,Plectidae,Anaplectus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Anaplectus De Coninck & Schuurmans Stekhoven, 1933. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227268 on 2022-06-30"
Anguina,1316813,exact,Checked by Taxonomic Editor,accepted,Anguina,"Scopoli, 1777",1316813,Anguina,"Scopoli, 1777",Animalia,Nematoda,Chromadorea,Rhabditida,Anguinidae,Anguina,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Anguina Scopoli, 1777. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1316813 on 2022-06-30"
Aorolaimus,1585042,exact,Checked by Taxonomic Editor,accepted,Aorolaimus,"Sher, 1963",1585042,,,Animalia,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Aorolaimus,,,,,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aorolaimus Sher, 1963. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1585042 on 2022-06-30"
Aphanolaimus,227255,exact,Checked by Taxonomic Editor,accepted,Aphanolaimus,"de Man, 1880",227255,Aphanolaimus,"de Man, 1880",Animalia,Nematoda,Chromadorea,Plectida,Aphanolaimidae,Aphanolaimus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aphanolaimus de Man, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227255 on 2022-06-30"
Aphelenchoides,227509,exact,Checked by Taxonomic Editor,accepted,Aphelenchoides,"Fischer, 1894",227509,Aphelenchoides,"Fischer, 1894",Animalia,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Aphelenchoides,,,,1,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aphelenchoides Fischer, 1894. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227509 on 2022-06-30"
Aphelenchus,582852,exact,Checked by Taxonomic Editor,accepted,Aphelenchus,"Bastian, 1865",582852,Aphelenchus,"Bastian, 1865",Animalia,Nematoda,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aphelenchus Bastian, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582852 on 2022-06-30"
Apoleptonchus,1477280,exact,Checked by Taxonomic Editor,accepted,Apoleptonchus,"Siddiqi, 1982",1477280,Apoleptonchus,"Siddiqi, 1982",Animalia,Nematoda,Enoplea,Dorylaimida,Leptonchidae,Apoleptonchus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Apoleptonchus Siddiqi, 1982. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1477280 on 2022-06-30"
Aporcelaimellus,582853,exact,Checked by Taxonomic Editor,accepted,Aporcelaimellus,"Heyns, 1965",582853,Aporcelaimellus,"Heyns, 1965",Animalia,Nematoda,Enoplea,Dorylaimida,Aporcelaimidae,Aporcelaimellus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aporcelaimellus Heyns, 1965. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582853 on 2022-06-30"
Aporcelaimus,231713,exact,Checked by Taxonomic Editor,accepted,Aporcelaimus,"Thorne & Swanger, 1936",231713,Aporcelaimus,"Thorne & Swanger, 1936",Animalia,Nematoda,Enoplea,Dorylaimida,Aporcelaimidae,Aporcelaimus,,,,1,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aporcelaimus Thorne & Swanger, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=231713 on 2022-06-30"
Aprutides,1584962,exact,Checked by Taxonomic Editor,accepted,Aprutides,"Scognamiglio, Talame & s'Jacob, 1970",1584962,,,Animalia,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Aprutides,,,,,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aprutides Scognamiglio, Talame & s'Jacob, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1584962 on 2022-06-30"
Aquatides,1294120,exact,Checked by Taxonomic Editor,accepted,Aquatides,"Heyns, 1968",1294120,Aquatides,"Heyns, 1968",Animalia,Nematoda,Enoplea,Dorylaimida,Nygolaimidae,Aquatides,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aquatides Heyns, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294120 on 2022-06-30"
Axonchium,582862,exact,Checked by Taxonomic Editor,accepted,Axonchium,"Cobb, 1920",582862,Axonchium,"Cobb, 1920",Animalia,Nematoda,Enoplea,Dorylaimida,Belondiridae,Axonchium,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Axonchium Cobb, 1920. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582862 on 2022-06-30"
Bakernema,1427594,exact,Checked by Taxonomic Editor,accepted,Bakernema,"Wu, 1964",1427594,Bakernema,"Wu, 1964",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Bakernema,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Bakernema Wu, 1964. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1427594 on 2022-06-30"
barracuda.jpg,994024,phonetic,Checked by Taxonomic Editor,accepted,Barracudia,"Moravec & Shamsi, 2017",994024,Barracudia,"Moravec & Shamsi, 2017",Animalia,Nematoda,Chromadorea,Rhabditida,Philometridae,Barracudia,,,,1,,,,"Nemys eds. (2022). Nemys: World Database of Nematodes. Barracudia Moravec & Shamsi, 2017. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=994024 on 2022-06-30"
Bastiania,227285,exact,Checked by Taxonomic Editor,accepted,Bastiania,"de Man, 1876",227285,Bastiania,"de Man, 1876",Animalia,Nematoda,Enoplea,Triplonchida,Bastianiidae,Bastiania,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Bastiania de Man, 1876. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227285 on 2022-06-30"
Bathyodontus,227375,exact,Checked by Taxonomic Editor,accepted,Bathyodontus,"Fielding, 1950",227375,Bathyodontus,"Fielding, 1950",Animalia,Nematoda,Enoplea,Mononchida,Bathyodontidae,Bathyodontus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Bathyodontus Fielding, 1950. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227375 on 2022-06-30"
Belondira,956631,exact,Checked by Taxonomic Editor,accepted,Belondira,"Thorne, 1939",956631,Belondira,"Thorne, 1939",Animalia,Nematoda,Enoplea,Dorylaimida,Belondiridae,Belondira,,,,0,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Belondira Thorne, 1939. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=956631 on 2022-06-30"
Belonolaimus,1060985,exact,Checked by Taxonomic Editor,accepted,Belonolaimus,"Steiner, 1949",1060985,Belonolaimus,"Steiner, 1949",Animalia,Nematoda,Chromadorea,Rhabditida,Dolichodoridae,Belonolaimus,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Belonolaimus Steiner, 1949. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1060985 on 2022-06-30"
Boleodorus,1294159,exact,Checked by Taxonomic Editor,accepted,Boleodorus,"Thorne, 1941",1294159,Boleodorus,"Thorne, 1941",Animalia,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Boleodorus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Boleodorus Thorne, 1941. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294159 on 2022-06-30"
Boreolaimus,1294137,exact,Checked by Taxonomic Editor,accepted,Boreolaimus,"Andrássy, 1998",1294137,Boreolaimus,"Andrássy, 1998",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Boreolaimus,,,,0,0,1,0,"Nemys eds. (2022). Nemys: World Database of Nematodes. Boreolaimus Andrássy, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294137 on 2022-06-30"
Bunonema,582869,exact,Checked by Taxonomic Editor,accepted,Bunonema,"Jägerskiöld, 1905",582869,Bunonema,"Jägerskiöld, 1905",Animalia,Nematoda,Chromadorea,Rhabditida,Bunonematidae,Bunonema,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Bunonema Jägerskiöld, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582869 on 2022-06-30"
Bursaphelenchus,1544445,exact,Checked by Taxonomic Editor,accepted,Bursaphelenchus,"Fuchs, 1937",1544445,Bursaphelenchus,"Fuchs, 1937",Animalia,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Bursaphelenchus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Bursaphelenchus Fuchs, 1937. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1544445 on 2022-06-30"
Cactodera,1315833,exact,Checked by Taxonomic Editor,accepted,Cactodera,"Krall & Krall, 1978",1315833,Cactodera,"Krall & Krall, 1978",Animalia,Nematoda,Chromadorea,Rhabditida,Heteroderidae,Cactodera,,,,,1,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Cactodera Krall & Krall, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1315833 on 2022-06-30"
Californidorus,1546925,exact,Checked by Taxonomic Editor,accepted,Californidorus,"Robbins & Weiner, 1978",1546925,Californidorus,"Robbins & Weiner, 1978",Animalia,Nematoda,Enoplea,Dorylaimida,Nordiidae,Californidorus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Californidorus Robbins & Weiner, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1546925 on 2022-06-30"
Calodorylaimus,1294036,exact,Checked by Taxonomic Editor,accepted,Calodorylaimus,"Andrássy, 1969",1294036,Calodorylaimus,"Andrássy, 1969",Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Calodorylaimus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Calodorylaimus Andrássy, 1969. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294036 on 2022-06-30"
Campydora,582874,exact,Checked by Taxonomic Editor,accepted,Campydora,"Cobb, 1920",582874,Campydora,"Cobb, 1920",Animalia,Nematoda,Enoplea,Enoplida,Campydoridae,Campydora,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Campydora Cobb, 1920. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582874 on 2022-06-30"
Capilonchus,1546980,exact,Checked by Taxonomic Editor,accepted,Capilonchus,"Siddiqi, 1982",1546980,Capilonchus,"Siddiqi, 1982",Animalia,Nematoda,Enoplea,Dorylaimida,Tylencholaimidae,Capilonchus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Capilonchus Siddiqi, 1982. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1546980 on 2022-06-30"
Carcharolaimus,1345258,exact,Checked by Taxonomic Editor,accepted,Carcharolaimus,"Thorne, 1939",1345258,Carcharolaimus,"Thorne, 1939",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Carcharolaimus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Carcharolaimus Thorne, 1939. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1345258 on 2022-06-30"
Cephalobus,153171,exact,Checked by Taxonomic Editor,accepted,Cephalobus,"Bastian, 1865",153171,Cephalobus,"Bastian, 1865",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Cephalobus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Cephalobus Bastian, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153171 on 2022-06-30"
Cervidellus,582881,exact,Checked by Taxonomic Editor,accepted,Cervidellus,"Thorne, 1937",582881,Cervidellus,"Thorne, 1937",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Cervidellus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Cervidellus Thorne, 1937. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582881 on 2022-06-30"
Chiloplacus,582887,exact,Checked by Taxonomic Editor,accepted,Chiloplacus,"Thorne, 1937",582887,Chiloplacus,"Thorne, 1937",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Chiloplacus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Chiloplacus Thorne, 1937. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582887 on 2022-06-30"
Chiloplectus,868755,exact,Checked by Taxonomic Editor,accepted,Chiloplectus,"Andrássy, 1984",868755,Chiloplectus,"Andrássy, 1984",Animalia,Nematoda,Chromadorea,Plectida,Plectidae,Chiloplectus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Chiloplectus Andrássy, 1984. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=868755 on 2022-06-30"
Chronogaster,227267,exact,Checked by Taxonomic Editor,accepted,Chronogaster,"Cobb, 1913",227267,Chronogaster,"Cobb, 1913",Animalia,Nematoda,Chromadorea,Plectida,Chronogastridae,Chronogaster,,,,1,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Chronogaster Cobb, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227267 on 2022-06-30"
Clarkus,954708,exact,Checked by Taxonomic Editor,accepted,Clarkus,"Jairajpuri, 1970",954708,Clarkus,"Jairajpuri, 1970",Animalia,Nematoda,Enoplea,Mononchida,Mononchidae,Clarkus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Clarkus Jairajpuri, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=954708 on 2022-06-30"
Clavicaudoides,1294122,exact,Checked by Taxonomic Editor,accepted,Clavicaudoides,"Heyns, 1968",1294122,Clavicaudoides,"Heyns, 1968",Animalia,Nematoda,Enoplea,Dorylaimida,Nygolaimidae,Clavicaudoides,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Clavicaudoides Heyns, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294122 on 2022-06-30"
Cobbonchus,582892,exact,Checked by Taxonomic Editor,accepted,Cobbonchus,"Andrássy, 1958",582892,Cobbonchus,"Andrássy, 1958",Animalia,Nematoda,Enoplea,Mononchida,Mononchidae,Cobbonchus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Cobbonchus Andrássy, 1958. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582892 on 2022-06-30"
concertina.jpg,468555,exact,Checked by Taxonomic Editor,accepted,Concertina,"Gordon, 1986",468555,Concertina,"Gordon, 1986",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Calloporidae,Concertina,,,,1,,,,"Bock, P. (2022). World List of Bryozoa. Concertina Gordon, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=468555 on 2022-06-30"
Coomansinema,1557246,exact,Checked by Taxonomic Editor,accepted,Coomansinema,"Ahmad & Jairajpuri, 1989",1557246,Coomansinema,"Ahmad & Jairajpuri, 1989",Animalia,Nematoda,Enoplea,Dorylaimida,Thornenematidae,Coomansinema,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Coomansinema Ahmad & Jairajpuri, 1989. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1557246 on 2022-06-30"
Coslenchus,1294161,exact,Checked by Taxonomic Editor,accepted,Coslenchus,"Siddiqi, 1978",1294161,Coslenchus,"Siddiqi, 1978",Animalia,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Coslenchus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Coslenchus Siddiqi, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294161 on 2022-06-30"
Criconema,431787,exact,Checked by Taxonomic Editor,accepted,Criconema,"Hofmänner & Menzel, 1914",431787,Criconema,"Hofmänner & Menzel, 1914",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Criconema Hofmänner & Menzel, 1914. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=431787 on 2022-06-30"
Criconemoides,428348,exact,Checked by Taxonomic Editor,accepted,Criconemoides,"Taylor, 1936",428348,Criconemoides,"Taylor, 1936",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconemoides,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Criconemoides Taylor, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=428348 on 2022-06-30"
Crocodorylaimus,887838,exact,Checked by Taxonomic Editor,accepted,Crocodorylaimus,"Andrassy, 1988",887838,Crocodorylaimus,"Andrassy, 1988",Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Crocodorylaimus,,,,0,0,1,0,"Nemys eds. (2022). Nemys: World Database of Nematodes. Crocodorylaimus Andrassy, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=887838 on 2022-06-30"
Crossonema,1427563,exact,Checked by Taxonomic Editor,accepted,Crossonema,"Mehta & Raski, 1971",1427563,Crossonema,"Mehta & Raski, 1971",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Crossonema,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Crossonema Mehta & Raski, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1427563 on 2022-06-30"
Cylindrolaimus,227201,exact,Checked by Taxonomic Editor,accepted,Cylindrolaimus,"de Man, 1880",227201,Cylindrolaimus,"de Man, 1880",Animalia,Nematoda,Chromadorea,Araeolaimida,Diplopeltidae,Cylindrolaimus,,,,1,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Cylindrolaimus de Man, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227201 on 2022-06-30"
Dactyluraxonchium,1566345,exact,Checked by Taxonomic Editor,accepted,Dactyluraxonchium,"Coomans & Nair, 1975",1566345,Dactyluraxonchium,"Coomans & Nair, 1975",Animalia,Nematoda,Enoplea,Dorylaimida,Belondiridae,Dactyluraxonchium,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Dactyluraxonchium Coomans & Nair, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1566345 on 2022-06-30"
Desmolaimus,2474,exact,Checked by Taxonomic Editor: included in ERMS 1.1,accepted,Desmolaimus,"de Man, 1880",2474,Desmolaimus,"de Man, 1880",Animalia,Nematoda,Chromadorea,Monhysterida,Linhomoeidae,Desmolaimus,,,,1,1,,,"Nemys eds. (2022). Nemys: World Database of Nematodes. Desmolaimus de Man, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2474 on 2022-06-30"
Diphtherophora,582911,exact,Checked by Taxonomic Editor,accepted,Diphtherophora,"de Man, 1880",582911,Diphtherophora,"de Man, 1880",Animalia,Nematoda,Enoplea,Triplonchida,Diphtherophoridae,Diphtherophora,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Diphtherophora de Man, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582911 on 2022-06-30"
Diplogasteriana,1296314,exact,Checked by Taxonomic Editor,accepted,Diplogasteriana,"Meyl, 1960",1296314,Diplogasteriana,"Meyl, 1960",Animalia,Nematoda,Chromadorea,Rhabditida,Diplogastridae,Diplogasteriana,,,,,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Diplogasteriana Meyl, 1960. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1296314 on 2022-06-30"
Diplogasteritus,1294006,exact,Checked by Taxonomic Editor,accepted,Diplogasteritus,"Paramonov, 1952",1294006,Diplogasteritus,"Paramonov, 1952",Animalia,Nematoda,Chromadorea,Rhabditida,Diplogastridae,Diplogasteritus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Diplogasteritus Paramonov, 1952. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294006 on 2022-06-30"
